Park,Name,ShortName,Unit Code,Park Type,Region,State,Latitude,Longitude,VehicleFee,Free
Grand Canyon NP,Grand Canyon National Park,Grand Canyon,GRCA,National Park,Intermountain ,AZ,36.06,-112.14,35,FALSE
Grand Teton NP,Grand Teton National Park,Grand Teton,GRTE,National Park,Intermountain ,WY,43.73,-110.8,35,FALSE
Great Basin NP,Great Basin National Park,Great Basin,GRBA,National Park,Pacific West ,NV,38.98,-114.3,0,TRUE
Great Sand Dunes NP & PRES,Great Sand Dunes National Park,Great Sand Dunes,GRSA,National Park,Intermountain ,CO,37.73,-105.51,25,FALSE
Great Smoky Mountains NP,Great Smoky Mountains National Park,Great Smoky Mountains,GRSM,National Park,Southeast ,TN,35.68,-83.53,0,TRUE
Guadalupe Mountains NP,Guadalupe Mountains National Park,Guadalupe Mountains,GUMO,National Park,Intermountain ,TX,31.92,-104.87,0,TRUE
Hot Springs NP,Hot Springs National Park,Hot Springs,HOSP,National Park,Midwest ,AR,34.51,-93.05,0,TRUE
Indiana Dunes NP,Indiana Dunes National Park,Indiana Dunes,INDU,National Park,Midwest ,IN,41.6533,-87.0524,25,FALSE
Isle Royale NP,Isle Royale National Park,Isle Royale,ISRO,National Park,Midwest ,MI,48.1,-88.55,0,TRUE
Joshua Tree NP,Joshua Tree National Park,Joshua Tree,JOTR,National Park,Pacific West ,CA,33.79,-115.9,30,FALSE
Kings Canyon NP,Kings Canyon National Park,Kings Canyon,KICA,National Park,Pacific West ,CA,36.8,-118.55,0,TRUE
Lassen Volcanic NP,Lassen Volcanic National Park,Lassen Volcanic,LAVO,National Park,Pacific West ,CA,40.49,-121.51,30,FALSE
Mammoth Cave NP,Mammoth Cave National Park,Mammoth Cave,MACA,National Park,Southeast ,KY,37.18,-86.1,0,TRUE
Mesa Verde NP,Mesa Verde National Park,Mesa Verde,MEVE,National Park,Intermountain ,CO,37.18,-108.49,30,FALSE
Mount Rainier NP,Mount Rainier National Park,Mount Rainier,MORA,National Park,Pacific West ,WA,46.85,-121.75,30,FALSE
New River Gorge NP & PRES,Great Sand Dunes National Park,Great Sand Dunes,NERI,National Park,Northeast ,WV,37.9,-81.04,25,FALSE
North Cascades NP,North Cascades National Park,North Cascades,NOCA,National Park,Pacific West ,WA,48.7,-121.2,0,TRUE
Olympic NP,Olympic National Park,Olympic,OLYM,National Park,Pacific West ,WA,47.97,-123.5,30,FALSE
Petrified Forest NP,Petrified Forest National Park,Petrified Forest,PEFO,National Park,Intermountain ,AZ,35.07,-109.78,25,FALSE
Pinnacles NP,Pinnacles National Park,Pinnacles,PINN,National Park,Pacific West ,CA,36.48,-121.16,30,FALSE
Redwood NP,Redwood National Park,Redwood,REDW,National Park,Pacific West ,CA,41.3,-124,0,TRUE
Rocky Mountain NP,Rocky Mountain National Park,Rocky Mountain,ROMO,National Park,Intermountain ,CO,40.4,-105.58,35,FALSE
Saguaro NP,Saguaro National Park,Saguaro,SAGU,National Park,Intermountain ,AZ,32.25,-110.5,25,FALSE
Sequoia NP,Sequoia National Park,Sequoia,SEQU,National Park,Pacific West ,CA,36.43,-118.68,0,TRUE
Shenandoah NP,Shenandoah National Park,Shenandoah,SHEN,National Park,Northeast ,VA,38.53,-78.35,30,FALSE
Theodore Roosevelt NP,Theodore Roosevelt National Park,Theodore Roosevelt,THRO,National Park,Midwest ,ND,46.97,-103.45,30,FALSE
Voyageurs NP,Voyageurs National Park,Voyageurs,VOYA,National Park,Midwest ,MN,48.5,-92.88,0,TRUE
White Sands NP,White Sands National Park,White Sands,WHSA,National Park,Intermountain ,NM,32.77,-106.17,25,FALSE
Wind Cave NP,Wind Cave National Park,Wind Cave,WICA,National Park,Midwest ,SD,43.57,-103.48,0,TRUE
Yellowstone NP,Yellowstone National Park,Yellowstone,YELL,National Park,Intermountain ,WY,44.6,-110.5,35,FALSE
Yosemite NP,Yosemite National Park,Yosemite,YOSE,National Park,Pacific West ,CA,37.83,-119.5,35,FALSE
Zion NP,Zion National Park,Zion,ZION,National Park,Intermountain ,UT,37.3,-113.05,35,FALSE
